section	qty	card_name	matched_name	set_name	set_code	number	rarity	released	product_id	sku_id	printing	condition	market_price	mp_sample	most_recent_sale	sale_avg	sale_count	listing_min	listing_avg	listing_count	image_url	missing
Material Deck	1	Alice, Golden Queen	Alice, Golden Queen	Distorted Reflections	DTR1E	004	Super Rare		644912	8847720	Normal	Near Mint	3.95	25	4.99	4.53	5	2.54	3.95	6	https://tcgplayer-cdn.tcgplayer.com/product/644912_200w.jpg	
Material Deck	1	Alice, Golden Queen	Alice, Golden Queen	Distorted Reflections	DTR1E	004	Super Rare		644912	8847725	Foil	Near Mint	40.99	5			0	39.70	40.17	4	https://tcgplayer-cdn.tcgplayer.com/product/644912_200w.jpg	
Material Deck	1	Alice, Whim's Monarch	Alice, Whim's Monarch	Phantom Monarchs	PTM	003	Super Rare		665194	9028237	Normal	Near Mint	2.11	25	2.49	2.39	5	1.60	6.17	19	https://tcgplayer-cdn.tcgplayer.com/product/665194_200w.jpg	
Material Deck	1	Alice, Whim's Monarch	Alice, Whim's Monarch	Phantom Monarchs	PTM	003	Super Rare		665194	9028242	Foil	Near Mint	20.89	17			0			0	https://tcgplayer-cdn.tcgplayer.com/product/665194_200w.jpg	
Material Deck	1	Alice, Trifle's Royalty	Alice, Trifle's Royalty	Radiant Origins	RDO	011	Super Rare		687714	9225216	Normal	Near Mint	4.60	25	3.58	3.58	4	3.40	5.00	20	https://tcgplayer-cdn.tcgplayer.com/product/687714_200w.jpg	
Material Deck	1	Alice, Trifle's Royalty	Alice, Trifle's Royalty	Radiant Origins	RDO	011	Super Rare		687714	9225221	Foil	Near Mint	49.99	1			0			0	https://tcgplayer-cdn.tcgplayer.com/product/687714_200w.jpg	
Material Deck	1	Lost Providence	Lost Providence	Radiant Origins	RDO	409	Ultra Rare	2026-04-03	688306	9230342	Normal	Near Mint	43.07	25	42.50	42.76	5	42.50	49.05	19	https://tcgplayer-cdn.tcgplayer.com/product/688306_200w.jpg	
Material Deck	1	Lost Providence	Lost Providence	Phantom Monarchs	PTM	013	Ultra Rare	2025-12-05	665290	9028922	Normal	Near Mint	143.58	25	142.86	137.31	5	122.04	142.72	6	https://tcgplayer-cdn.tcgplayer.com/product/665290_200w.jpg	
Material Deck	1	Lost Providence	Lost Providence	Phantom Monarchs	PTM	013	Ultra Rare	2025-12-05	665290	9028927	Foil	Near Mint	532.00	9			0			0	https://tcgplayer-cdn.tcgplayer.com/product/665290_200w.jpg	
Main Deck	3	Golden Checkmate	Golden Checkmate	Radiant Origins	RDO	85	Ultra Rare		688297	9230292	Normal	Near Mint	24.63	25	20.00	24.24	5	21.67	26.73	20	https://tcgplayer-cdn.tcgplayer.com/product/688297_200w.jpg	
Sideboard	2	Surging Obstruction	Surging Obstruction	Radiant Origins	RDO	247	Uncommon		688033	9227901	Normal	Near Mint	0.68	5	0.64	0.64	4	0.48	0.70	20	https://tcgplayer-cdn.tcgplayer.com/product/688033_200w.jpg	
Sideboard	2	Surging Obstruction	Surging Obstruction	Radiant Origins	RDO	247	Uncommon		688033	9227906	Foil	Near Mint	3.99	2	3.99	3.99	1			0	https://tcgplayer-cdn.tcgplayer.com/product/688033_200w.jpg	
